Entidad,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
Durango,485354,496718,507978,519324,531001,542571,553830,564715,575252,585502,595917,607016,618509,629974,641409,652734,663956,675046,685902,696449,705749,713278,719825,725740,731058,735603,738927,741222,742972,744220,748379,756459,765403,774552,783670,793289,804031,815738,827259,838019,849181,861495,874062,886247,897811,907163,914017,919988,925923,931701,937633,944036,951091,958476,965414,971931,978045,983820,989280,994461,999398,1004121,1008628,1012924,1017013,1020886,1024545,1027968,1031144,1034084,1036756,1039171,1041311,1043180,1044765,1046074,1047083,1047825,1048281,1048451,1048333,1047930,1047256,1046311,1045116,1043654,1041941,1039984,1037795,1035378,1032741,1029899,1026850,1023594,1020149,1016512,1012695,1008694,1004523,1000173,995656
Guanajuato,1200594,1233202,1267263,1301066,1335053,1369939,1404280,1437944,1471044,1503722,1542487,1592756,1649101,1706672,1765166,1824345,1884013,1944170,2004717,2065730,2117214,2156046,2191640,2226393,2260294,2293809,2328114,2362752,2396414,2428768,2460745,2493628,2526907,2560063,2592914,2628640,2675375,2732399,2790529,2847253,2898895,2941155,2977400,3011787,3044054,3073387,3100702,3127825,3155949,3184223,3212290,3238484,3267431,3300188,3331631,3361779,3390684,3418448,3445109,3470704,3495293,3518903,3541598,3563380,3584278,3604309,3623464,3641751,3659147,3675672,3691322,3706064,3719898,3732820,3744790,3755800,3765824,3774842,3782875,3789894,3795889,3800849,3804791,3807706,3809614,3810494,3810393,3809285,3807206,3804160,3800171,3795232,3789380,3782636,3775020,3766548,3757232,3747098,3736168,3724456,3711978
Guerrero,866432,888573,911061,933620,956209,978749,1000612,1021405,1041957,1062596,1085737,1113783,1144431,1175494,1206757,1237888,1268800,1299519,1329924,1360163,1387384,1410940,1433638,1456009,1478062,1500131,1522713,1545399,1567516,1588947,1606280,1619457,1631938,1644038,1655585,1668769,1688373,1713493,1738626,1762473,1784788,1804757,1822961,1840291,1856308,1865664,1867338,1866635,1865680,1864279,1864044,1864742,1866244,1868704,1870291,1871076,1871088,1870407,1869075,1867122,1864602,1861558,1858042,1854071,1849682,1844898,1839739,1834202,1828302,1822050,1815437,1808484,1801185,1793557,1785570,1777250,1768595,1759586,1750246,1740561,1730544,1720194,1709530,1698560,1687294,1675739,1663890,1651780,1639418,1626806,1613959,1600882,1587598,1574093,1560410,1546544,1532519,1518320,1503973,1489483,1474861
Hidalgo,635854,650381,665151,680033,694753,709377,723867,737857,751322,764361,779425,798576,819744,841002,862141,882993,903420,923491,943475,963703,983408,1002675,1022489,1042581,1062584,1082422,1102139,1121222,1139339,1156682,1172525,1187496,1202844,1218499,1234319,1252553,1278471,1310838,1343667,1375747,1405343,1430572,1453139,1474838,1495434,1515825,1536843,1557999,1579636,1601545,1621511,1639053,1658049,1678672,1698840,1718529,1737717,1756389,1774549,1792192,1809339,1825975,1842091,1857692,1872732,1887204,1901094,1914380,1927034,1939042,1950405,1961097,1971116,1980463,1989125,1997111,2004419,2011030,2016968,2022212,2026768,2030627,2033816,2036328,2038171,2039358,2039880,2039765,2039015,2037630,2035640,2033039,2029832,2026042,2021660,2016719,2011222,2005158,1998563,1991445,1983806
Jalisco,1774813,1823835,1873932,1924882,1976977,2029340,2081267,2132304,2182574,2232246,2283701,2338854,2395926,2453241,2510769,2568302,2625882,2683566,2740816,2797404,2853600,2909423,2964295,3017873,3070154,3120243,3162112,3196451,3229177,3260280,3297802,3344750,3393774,3443157,3492870,3544694,3600006,3659360,3719126,3776274,3832121,3886555,3938385,3987683,4033768,4079036,4125847,4172970,4221452,4270970,4314053,4347887,4384714,4426487,4467172,4506542,4544421,4580771,4615685,4649290,4681588,4712639,4742405,4770954,4798292,4824397,4849255,4872843,4895170,4916205,4935990,4954469,4971679,4987612,5002262,5015603,5027645,5038389,5047840,5055987,5062813,5068345,5072573,5075522,5077185,5077575,5076702,5074588,5071249,5066724,5060970,5054061,5045977,5036754,5026428,5014995,5002506,4988971,4974423,4958851,4942316
Michoacán,1237721,1264497,1291623,1318603,1345387,1371546,1396173,1419891,1443223,1465702,1493014,1529789,1571291,1613376,1655799,1698641,1741456,1783896,1826114,1868088,1904062,1932480,1958612,1983512,2007282,2029700,2048589,2063931,2077763,2090263,2099596,2106562,2113535,2120478,2127187,2137780,2161793,2196944,2232563,2266527,2297914,2325230,2349287,2371616,2391969,2408455,2421361,2433376,2446454,2459628,2475663,2493206,2513099,2536865,2560051,2582556,2604355,2625468,2645908,2665710,2684892,2703488,2721491,2738913,2755728,2771951,2787579,2802602,2817026,2830839,2844035,2856652,2868692,2880157,2891032,2901312,2910983,2920049,2928489,2936330,2943529,2950092,2956022,2961318,2965993,2970042,2973469,2976261,2978459,2980033,2981016,2981391,2981167,2980367,2978998,2977074,2974588,2971575,2968020,2963959,2959387
Morelos,329388,342891,357086,371738,386833,402251,417864,433660,449615,465780,481589,496471,510966,525612,540373,555212,569897,584295,598643,613117,630036,650393,672223,694616,717257,739191,757143,771352,784679,797378,807830,816440,825350,834560,843880,854355,868520,885791,903091,919709,935641,950585,964720,978465,991624,1001835,1008799,1014981,1021353,1027781,1033473,1037543,1042633,1049533,1056059,1062217,1068017,1073478,1078590,1083357,1087769,1091833,1095559,1098923,1101929,1104585,1106888,1108847,1110452,1111709,1112614,1113171,1113374,1113247,1112767,1111946,1110783,1109289,1107462,1105296,1102818,1100019,1096904,1093475,1089760,1085761,1081462,1076902,1072060,1066955,1061594,1055983,1050124,1044039,1037723,1031176,1024423,1017458,1010305,1002958,995429
México,2041157,2186221,2344289,2509529,2681824,2858072,3039606,3228531,3422441,3621627,3803745,3948344,4075865,4205170,4336941,4471508,4607282,4742870,4878653,5014605,5160093,5318299,5480026,5642098,5804911,5967583,6128172,6287710,6447861,6608418,6747321,6862200,6975311,7089901,7204677,7323157,7448445,7580213,7710428,7833786,7951835,8069413,8186911,8300572,8408760,8499968,8573276,8641611,8711942,8783295,8841480,8883536,8936441,9001402,9063075,9121081,9175387,9226130,9273382,9317127,9357256,9393811,9426912,9456564,9482792,9505572,9524883,9540743,9553162,9562134,9567714,9569875,9568699,9564188,9556454,9545487,9531314,9514048,9493663,9470235,9443764,9414353,9382045,9346905,9308944,9268295,9225008,9179202,9130919,9080268,9027288,8972097,8914804,8855498,8794238,8731119,8666214,8599639,8531455,8461731,8390588
Nayarit,282378,290204,298196,306329,314587,322883,331064,339109,347028,354846,362310,369234,375902,382479,388977,395369,401589,407597,413399,419053,424844,430867,436850,442612,448105,453233,457321,460412,463164,465639,468945,473491,478355,483341,488324,494409,504141,516807,529556,541933,553527,564093,574032,583616,592737,600336,606222,611612,617305,623307,629877,636717,644089,652196,660178,667956,675498,682774,689800,696595,703152,709456,715531,721368,726983,732397,737586,742565,747337,751891,756227,760367,764296,768022,771560,774868,777975,780867,783559,786028,788272,790298,792116,793716,795105,796285,797256,798013,798558,798898,799043,798994,798752,798308,797667,796828,795814,794609,793235,791687,789959
Nuevo León,887666,920915,955213,990638,1027127,1064260,1101694,1139429,1177509,1216136,1253641,1288794,1323214,1357839,1392567,1427167,1461407,1495318,1529072,1562872,1598116,1635274,1673380,1712084,1751048,1789375,1824205,1855578,1885642,1914425,1947402,1986659,2027599,2069136,2110967,2153177,2196832,2243035,2289426,2334355,2380827,2430498,2480893,2530646,2579174,2632702,2693741,2756730,2821167,2886717,2942913,2989081,3037992,3089730,3141164,3192145,3242394,3291733,3340236,3388025,3435144,3481509,3526998,3571599,3615382,3658363,3700498,3741705,3781966,3821285,3859677,3897146,3933646,3969158,4003662,4037146,4069607,4101036,4131388,4160632,4188777,4215789,4241671,4266407,4289983,4312387,4333617,4353679,4372577,4390323,4406899,4422322,4436604,4449768,4461823,4472786,4482666,4491471,4499250,4505987,4511721
