Entidad,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
Durango,505377,516042,526497,536922,547554,557935,567890,577310,586139,594476,603029,612522,622470,632363,642228,651975,661587,671075,680322,689280,697666,705116,711773,717860,723324,727908,730408,730865,730351,728909,731124,738514,747116,755537,763353,770982,779629,789545,800614,812545,824844,837824,850638,862835,874414,884425,892691,900194,907591,914624,920522,926150,933195,940981,948360,955197,961437,967057,972117,976673,980873,984792,988532,992204,995853,999538,1003261,1006950,1010502,1013816,1016765,1019300,1021383,1023035,1024295,1025227,1025890,1026361,1026705,1026931,1027076,1027118,1027027,1026736,1026179,1025301,1024068,1022489,1020566,1018348,1015871,1013210,1010390,1007460,1004433,1001330,998131,994824,991344,987659,983759
Guanajuato,1214354,1245622,1278227,1310375,1342395,1375023,1406908,1437822,1467665,1496595,1530436,1573872,1622207,1671468,1721425,1771693,1822204,1873067,1924103,1975501,2020179,2055718,2088749,2120999,2152311,2182755,2211097,2236634,2259794,2280187,2301646,2327019,2353629,2378818,2401654,2426068,2464600,2516909,2574720,2636498,2695119,2746163,2791556,2834677,2875948,2911700,2941857,2971011,3000892,3030323,3053506,3070480,3093383,3122295,3149907,3175890,3200065,3222426,3243054,3262122,3279879,3296579,3312460,3327748,3342627,3357223,3371529,3385461,3398826,3411398,3422949,3433350,3442542,3450578,3457530,3463525,3468708,3473193,3477119,3480548,3483508,3485967,3487840,3488989,3489259,3488531,3486720,3483823,3479892,3475010,3469275,3462791,3455689,3448044,3439914,3431317,3422254,3412655,3402468,3391604,3380003
Guerrero,868391,891356,914813,938298,961737,985069,1007725,1029220,1050264,1071217,1093489,1118581,1145129,1171961,1198908,1225598,1251934,1277988,1303641,1329097,1353144,1375552,1397539,1419256,1440626,1461528,1480404,1496781,1511652,1524835,1535530,1544763,1553887,1561822,1567924,1574603,1589099,1611017,1635762,1662595,1686956,1706154,1721794,1736018,1748850,1755076,1753707,1749884,1745513,1740243,1735911,1733590,1733707,1735511,1736442,1736358,1735208,1732995,1729786,1725706,1720913,1715554,1709810,1703814,1697687,1691492,1685251,1678918,1672404,1665585,1658349,1650646,1642445,1633784,1624718,1615346,1605735,1595967,1586116,1576216,1566300,1556342,1546307,1536114,1525701,1514990,1503952,1492588,1480930,1469000,1456881,1444627,1432285,1419927,1407575,1395233,1382894,1370537,1358108,1345566,1332871
Hidalgo,643761,659274,675148,691167,706977,722670,738273,753342,767772,781617,796483,813630,831877,850093,868113,885704,902742,919370,935821,952517,969637,987555,1006332,1025416,1044344,1062749,1078426,1090761,1101305,1110230,1119202,1129653,1140831,1151686,1161703,1173129,1192891,1220207,1249988,1281521,1310791,1335401,1356909,1377194,1396390,1415299,1434711,1454172,1473912,1493582,1508655,1518894,1532282,1549129,1565555,1581328,1596343,1610516,1623866,1636484,1648456,1659905,1670899,1681528,1691873,1701968,1711793,1721287,1730343,1738841,1746669,1753759,1760082,1765676,1770588,1774889,1778650,1781938,1784823,1787345,1789523,1791346,1792766,1793724,1794162,1794006,1793222,1791826,1789833,1787275,1784223,1780720,1776818,1772554,1767969,1763064,1757823,1752226,1746230,1739816,1732937
Jalisco,1748893,1795248,1842469,1890282,1938857,1987300,2035042,2081441,2126355,2169963,2215083,2264010,2314804,2365801,2417120,2468433,2519815,2571377,2622570,2673291,2726363,2782357,2838243,2893063,2946622,2997883,3040932,3075755,3107440,3135878,3170004,3214289,3261434,3307355,3350899,3394058,3441607,3495421,3555767,3620775,3685033,3746988,3805300,3860276,3912138,3961178,4008882,4056053,4104153,4152417,4193609,4225560,4263272,4309024,4353743,4396784,4437606,4476002,4512081,4546094,4578319,4609049,4638578,4667246,4695288,4722853,4749941,4776390,4801902,4826115,4848763,4869571,4888457,4905514,4920890,4934777,4947394,4958959,4969660,4979608,4988858,4997366,5004997,5011539,5016777,5020496,5022618,5023041,5021910,5019332,5015451,5010411,5004415,4997540,4989909,4981534,4972388,4962396,4951446,4939461,4926274
Michoacán,1253462,1278252,1303188,1327745,1351764,1374819,1396086,1416091,1435214,1452960,1475089,1506188,1541571,1577388,1613454,1649856,1686092,1721757,1757114,1792202,1823504,1850070,1875023,1898827,1921463,1942256,1956269,1963372,1967788,1969617,1970533,1972728,1975830,1977924,1978225,1981296,2000632,2034395,2072345,2113037,2150861,2182406,2209158,2233688,2256327,2275532,2291574,2306794,2322928,2338724,2354604,2369391,2388407,2413736,2438603,2462474,2485028,2506122,2525788,2544209,2561624,2578324,2594562,2610583,2626595,2642707,2658955,2675181,2691143,2706501,2720958,2734365,2746665,2757916,2768252,2777854,2786899,2795575,2804035,2812404,2820696,2828862,2836769,2844225,2851036,2857009,2862033,2866080,2869219,2871543,2873172,2874249,2874896,2875227,2875287,2875117,2874687,2873889,2872638,2870811,2868327
Morelos,329844,343231,357310,371814,386711,401854,417144,432545,447975,463473,478385,491992,505008,518134,531342,544607,557676,570443,583137,595976,611466,630610,651287,672537,693971,714468,730135,741132,750727,759195,766243,772874,780120,787263,793874,801006,811919,826350,842217,859100,875327,890211,904017,917217,929826,939745,946684,952829,959052,965120,969281,970731,974445,981324,987825,993886,999455,1004527,1009114,1013253,1016972,1020326,1023360,1026124,1028639,1030942,1033043,1034918,1036530,1037824,1038759,1039304,1039438,1039196,1038598,1037676,1036473,1035024,1033358,1031503,1029468,1027256,1024836,1022201,1019297,1016131,1012664,1008904,1004859,1000550,996009,991259,986330,981231,975990,970613,965098,959423,953598,947584,941371
México,2083107,2227334,2384548,2548656,2719287,2893248,3072024,3257471,3446706,3639893,3815348,3952931,4072784,4194189,4318131,4444655,4572283,4699742,4827312,4955309,5093051,5243427,5397338,5551492,5705927,5859221,6009685,6157236,6301658,6442320,6564326,6669403,6774890,6878334,6976230,7070470,7162188,7255353,7358672,7469168,7577925,7689943,7802250,7908687,8009472,8094857,8164125,8228452,8293791,8358223,8395308,8407514,8443203,8499818,8552943,8602092,8647033,8687957,8724935,8758053,8787363,8813111,8835518,8854769,8871001,8884339,8894820,8902398,8907024,8908589,8907008,8902256,8894353,8883369,8869483,8852772,8833421,8811536,8787256,8760704,8731903,8700942,8667798,8632472,8594923,8555099,8513085,8468866,8422565,8374334,8324208,8272368,8218938,8163997,8107705,8050049,7991122,7930944,7869524,7806885,7743005
Nayarit,292346,300242,308277,316430,324670,332890,340973,348838,356477,363910,370915,377369,383565,389678,395734,401679,407446,413012,418391,423647,429197,435129,441037,446741,452176,457178,460902,463326,465141,466405,468671,472652,477148,481523,485512,490286,499039,511191,524334,538144,551039,562254,572421,582050,591188,598468,603565,608045,612753,617602,622813,628215,634516,641928,649254,656326,663001,669248,675072,680512,685615,690448,695071,699563,703975,708354,712696,716968,721125,725084,728791,732176,735247,737999,740475,742730,744794,746721,748541,750284,751957,753562,755053,756392,757522,758401,759011,759348,759428,759280,758911,758385,757710,756926,756052,755081,754011,752812,751489,749987,748301
Nuevo León,900894,934217,968591,1004058,1040430,1077267,1114320,1151467,1188612,1225974,1262478,1297378,1331848,1366598,1401622,1436558,1471211,1505648,1540036,1574684,1610294,1647026,1684618,1722879,1761358,1799240,1835393,1869263,1900830,1930019,1962825,2002502,2044555,2086234,2126535,2165199,2202237,2239905,2281395,2325758,2372782,2424179,2476476,2527508,2577268,2633518,2699055,2766863,2835992,2905686,2963058,3007825,3057506,3112423,3167035,3220978,3273808,3325255,3375376,3424381,3472426,3519524,3565698,3611072,3655818,3700035,3743684,3786648,3828729,3869796,3909694,3948307,3985578,4021508,4056140,4089576,4121910,4153223,4183581,4213029,4241585,4269201,4295832,4321346,4345634,4368572,4390122,4410260,4429016,4446461,4462644,4477643,4491548,4504429,4516332,4527287,4537279,4546274,4554234,4561116,4566875
