Grupo edad,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
50-54,938865,978009,1014593,1047271,1076200,1102154,1125248,1146456,1166994,1187467,1207348,1226478,1244533,1260963,1276845,1293428,1312006,1334325,1361419,1393862,1431673,1474626,1521880,1571455,1622471,1674097,1725716,1779124,1834658,1892365,1952823,2014508,2074778,2133140,2189903,2244729,2300545,2359820,2423351,2492136,2567101,2647862,2732224,2819378,2910452,3003055,3094543,3185347,3273888,3356848,3435098,3516127,3609312,3721145,3858924,4024929,4210389,4404884,4603888,4802771,5000740,5202248,5406237,5609798,5808470,5996673,6173287,6342625,6508560,6671022,6816966,6950525,7101148,7261924,7408849,7532696,7623904,7679807,7707895,7722622,7741661,7783349,7861671,7980162,8134356,8314565,8507366,8700760,8887346,9064894,9238102,9411949,9579337,9727027,9843929,9919293,9949291,9947367,9938245,9943189,9967286,9999710,10024120,10026480,10001809,9959957,9921617,9904508,9912610,9934847,9953329,9951006,9916677,9852092,9768166,9673274,9567619,9455756,9352984,9261891,9181321
55-59,693377,718047,747494,781132,818598,858575,897830,934304,966962,995705,1020631,1043089,1064314,1084467,1104582,1124434,1143029,1160472,1176540,1191706,1207309,1225364,1247550,1274086,1306029,1343488,1385511,1431379,1479941,1529923,1580131,1630285,1682477,1736715,1792972,1851992,1912536,1971910,2028976,2084090,2137668,2192367,2250311,2312501,2379947,2453168,2531308,2612317,2695508,2781784,2869508,2957037,3044761,3131328,3214161,3293783,3377147,3473286,3587640,3726479,3891356,4073410,4261386,4451667,4640394,4826437,5014367,5205967,5400080,5591853,5756522,5893905,6047158,6216665,6382000,6546193,6711661,6875277,7031475,7173855,7294028,7383231,7439163,7469200,7487292,7510414,7556102,7637643,7758160,7912980,8092361,8283022,8473276,8656137,8829820,8999346,9169930,9334884,9481428,9598763,9676331,9710215,9713228,9709166,9718467,9745805,9780397,9806266,9809915,9786859,9747075,9711050,9696257,9706635,9731347,9752782,9754068,9724030,9664173,9585011,9494587
60-64,537965,548786,560633,574184,591063,612444,637551,666472,699046,734712,771573,808095,842686,873257,900278,924248,945392,965391,984673,1003392,1021593,1039453,1056979,1073105,1089003,1105810,1124252,1146299,1172932,1204315,1240349,1280726,1324941,1371471,1419223,1467354,1515804,1566316,1618296,1671873,1728435,1786529,1843300,1898120,1951352,2002783,2054468,2108794,2167010,2229846,2298447,2372760,2450290,2530405,2614574,2700899,2787844,2875985,2962907,3045437,3124222,3205827,3297751,3406099,3537125,3691216,3859888,4035470,4215961,4396714,4552498,4688919,4855870,5049076,5239508,5423081,5597689,5765425,5928289,6087314,6245708,6406032,6565433,6718631,6859427,6979650,7070681,7130056,7164575,7187365,7214481,7262609,7344492,7463265,7614657,7789565,7975459,8161341,8340691,8511896,8679797,8849280,9013622,9160165,9278210,9357383,9393838,9399997,9399021,9410881,9440227,9476674,9504806,9511690,9493092,9458689,9428187,9418317,9432709,9460674,9484994
65-69,390982,402920,414711,426016,437675,450221,462483,475116,489111,505617,524933,547854,574607,603888,635788,669137,701594,732451,760149,784189,805328,825060,844581,863350,882438,901557,919419,936756,953574,969609,985881,1003960,1025474,1050722,1080097,1113848,1151797,1193270,1236442,1280567,1325621,1371012,1417991,1466461,1516535,1568687,1621256,1672399,1721990,1770190,1817579,1866620,1918356,1973625,2033823,2099536,2170881,2246089,2323433,2403680,2485944,2568997,2651995,2733469,2810582,2882509,2955289,3039239,3141020,3264936,3385257,3493904,3636192,3809637,3984016,4159008,4337341,4518611,4700507,4880116,5053835,5219867,5380267,5536959,5690870,5844897,6001253,6157086,6307225,6445587,6564245,6654944,6715365,6752093,6777720,6807561,6857440,6939427,7056520,7204725,7375422,7556725,7738193,7913607,8081363,8245969,8411943,8572760,8716345,8832619,8911918,8950793,8961213,8965300,8982091,9015845,9056357,9088694,9100445,9087657,9059608
70-74,245641,256015,266663,277376,288963,301673,313865,325516,336769,347987,358880,369993,381904,394267,408589,425599,445024,467734,492868,519620,547356,575419,602938,627794,650591,671498,690072,708293,726695,744546,761734,778350,794708,810004,824580,839608,856423,876170,898845,925093,955784,990120,1027078,1065593,1104921,1144147,1182667,1222603,1264407,1307953,1354424,1402828,1450064,1495471,1540038,1583702,1628892,1677364,1728604,1783425,1843746,1910163,1979614,2050957,2124614,2198059,2269999,2343302,2417702,2488952,2531436,2551184,2606940,2703023,2818491,2954301,3103258,3258041,3416351,3575940,3736684,3901048,4068657,4237504,4404986,4567803,4724208,4875964,5024725,5171193,5317804,5466435,5614436,5757151,5889080,6003064,6091622,6152720,6192503,6222582,6256950,6309979,6392611,6507500,6650900,6814796,6988185,7161520,7329237,7490056,7648324,7808265,7963730,8103400,8217861,8298163,8341122,8357815,8368785,8391695,8430291
75-79,128148,134869,142156,149760,158253,167837,177268,186626,196107,205972,215807,225711,235637,244696,253655,262742,271556,281152,291441,302799,316090,332113,351232,372162,395125,419259,442531,465209,486619,505605,522439,538132,553762,568868,583501,597860,611956,625729,638520,650952,664591,679755,696842,716281,738460,763077,789650,818459,849221,881176,914404,948791,984269,1020480,1058123,1097542,1138248,1178837,1217596,1255053,1293092,1334346,1378593,1425470,1474951,1526888,1581404,1639810,1702016,1766527,1810084,1830840,1873851,1939351,2003120,2065195,2129572,2202274,2287420,2389428,2509014,2640015,2776344,2916242,3057986,3201494,3348699,3499136,3651038,3802135,3949448,4091371,4229438,4365169,4499255,4633839,4770543,4907088,5039413,5162643,5270377,5355934,5417454,5460386,5494979,5533521,5588585,5669753,5779402,5914279,6067342,6228882,6390573,6547649,6699127,6848954,7000786,7148827,7282652,7393682,7473910
80-84,53664,56682,60070,63731,68058,73218,78511,84011,89800,95984,102308,108878,115694,122205,128940,135934,142672,149590,156235,162572,169009,175952,183893,192229,201800,212886,224957,238995,254823,271406,288178,304897,321376,336385,349709,361892,373408,384788,395764,406743,418358,429931,440904,451173,460962,470475,480259,491764,505718,522257,541881,564399,588379,612787,637817,662958,688529,715669,743098,771142,802062,836198,871011,904987,937664,968744,999904,1034671,1073323,1114117,1141430,1154808,1186121,1235632,1287412,1340573,1393996,1447977,1502100,1555229,1607379,1661766,1723262,1795149,1880896,1980897,2090128,2203872,2320890,2439980,2561082,2685548,2812897,2941769,3070424,3196462,3318574,3438062,3556260,3673741,3792166,3912743,4033523,4151096,4261317,4358769,4437831,4496989,4540945,4578387,4619591,4674942,4752364,4853846,4976682,5114963,5260486,5406330,5548624,5686647,5823817
85-89,16666,17705,18897,20196,21765,23684,25670,27781,30088,32648,35375,38347,41563,44744,48133,51750,55346,59188,63055,66946,71056,75422,80161,84729,89394,94176,98707,103618,109122,114939,121253,128480,136983,146157,155754,165662,175535,185114,193865,201970,210122,218129,225889,233401,240651,247294,253248,259146,265283,271736,279171,287963,297617,307891,319400,332021,345996,361322,376710,392258,409322,428759,450137,472281,494579,517034,539616,563672,588599,612801,625832,627849,642247,670104,699906,731943,765937,801141,837561,875883,915484,955576,996344,1037526,1078393,1118929,1161425,1209449,1265330,1331509,1408079,1491320,1577993,1667411,1758946,1852619,1949248,2048412,2149175,2250337,2350085,2447402,2543263,2638710,2734166,2830768,2929315,3028304,3125167,3216712,3298774,3367048,3420436,3462724,3500693,3542202,3595070,3665253,3754269,3860034,3977946
90-94,3470,3688,3955,4255,4636,5121,5632,6187,6800,7489,8229,9054,9970,10901,11933,13087,14289,15633,17035,18505,20168,21929,23927,25922,28040,30249,32331,34480,36697,38774,40720,42704,44966,47324,49852,52727,56030,59774,63836,68268,73173,78224,83114,87626,91692,95225,98352,101569,105068,108826,113011,117566,121937,125817,129578,133291,137327,142038,146998,152518,159563,168639,179063,189944,200739,211304,221951,234240,247740,261421,269917,272030,279522,293633,308265,323306,338896,355279,372715,391478,411710,433269,455729,479134,503936,529755,556096,583060,610501,638041,665635,694714,727554,765602,810342,861696,917272,975194,1035212,1097134,1160996,1227175,1295327,1364907,1435204,1505037,1573700,1641869,1710301,1779288,1849512,1921417,1993991,2065521,2133828,2196052,2249266,2292784,2329342,2363679,2401131
95-99,432,458,491,529,581,651,725,810,905,1012,1132,1268,1426,1586,1769,1975,2194,2442,2716,3019,3424,3838,4327,4810,5346,5919,6481,7067,7696,8310,8894,9471,10105,10713,11290,11867,12464,13104,13794,14603,15621,16847,18215,19703,21234,22711,24099,25484,26892,28326,29877,31593,33284,34834,36329,37719,39060,40422,41614,42788,44394,46715,49635,52824,56132,59598,63341,67851,72877,77921,80498,80675,84091,90545,96756,102868,109068,115511,122279,129361,136713,144431,152646,161486,171052,181408,192494,204123,216337,229386,243073,257154,271670,286568,301693,317024,333280,351664,372902,397722,426000,456468,488273,521422,555950,591897,629366,668135,707973,748561,789254,829674,870216,911351,953245,996221,1040460,1085391,1130063,1173223,1213230
≥100,30,30,34,38,43,48,53,60,67,77,87,99,111,123,140,162,184,208,235,268,321,380,432,500,564,650,718,813,895,993,1075,1181,1283,1379,1487,1588,1690,1792,1896,2009,2152,2305,2473,2663,2849,3043,3249,3502,3803,4143,4516,4966,5401,5790,6154,6462,6792,7132,7432,7743,8161,8728,9399,10107,10779,11448,12168,13134,14249,15440,16171,16380,16896,18089,19568,21305,23253,25388,27624,29881,32206,34652,37263,40038,42955,46015,49276,52801,56632,60799,65322,70199,75380,80903,86868,93223,99859,106786,114002,121499,129241,137494,146736,157243,169282,182766,197271,212654,229062,246642,265390,285181,305857,327404,349766,372688,396009,419891,444558,470060,496436
